Scenario - NatMEG_Auditory
Logfile written - 09/25/2024 14:02:13

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1186	14	Response	12	8865011	3621535	1
1186	14	Port Input 1	1	8944224	3700748	1
1186	14	Response	12	8944224	3700748	1
1186	14	Port Input 1	1	9020876	3777399	1
1186	14	Response	12	9020876	3777399	1
1186	14	Port Input 1	1	9151499	3908023	1
1186	14	Response	12	9151499	3908023	1
1186	15	Quit		9221604	56437	NA


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

